year,place,type
2013,道路不平,kcg
2013,道路不平,kcg
2013,公園、路樹、人行道,kcg
2013,髒亂、噪音、空汙,kcg
2013,交通違規、路霸,kcg
2013,道路不平,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2012,公園、路樹、人行道,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2012,動物保護,kcg
2012,公園、路樹、人行道,kcg
2012,道路不平,kcg
2012,髒亂、噪音、空汙,kcg
2011,交通號誌,kcg
2011,髒亂、噪音、空汙,kcg
2011,道路不平,kcg
2011,道路不平,kcg
2011,髒亂、噪音、空汙,kcg
2011,路燈故障,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,道路不平,kcg
2011,道路不平,kcg
2011,積水、汙水管,kcg
2011,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,髒亂、噪音、空汙,kcg
2010,公園、路樹、人行道,kcg
2010,公園、路樹、人行道,kcg
2010,公園、路樹、人行道,kcg
2010,路燈故障,kcg
2010,路燈故障,kcg
2010,積水、汙水管,kcg
2010,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,積水、汙水管,kcg
2010,交通號誌,kcg
2010,道路不平,kcg
2010,髒亂、噪音、空汙,kcg
2010,交通違規、路霸,kcg
2009,動物保護,kcg
2009,公園、路樹、人行道,kcg
2009,交通號誌,kcg
2009,髒亂、噪音、空汙,kcg
2009,交通號誌,kcg
2009,路燈故障,kcg
2009,交通違規、路霸,kcg
2009,髒亂、噪音、空汙,kcg
2009,電力相關,kcg
2009,髒亂、噪音、空汙,kcg
2009,交通號誌,kcg
2009,交通號誌,kcg
2009,交通違規、路霸,kcg
2009,道路不平,kcg
2009,道路不平,kcg
2009,公園、路樹、人行道,kcg
2008,路燈故障,kcg
2008,道路不平,kcg
2008,路燈故障,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,動物保護,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,公園、路樹、人行道,kcg
2008,交通號誌,kcg
2008,髒亂、噪音、空汙,kcg
2007,髒亂、噪音、空汙,kcg
2007,路燈故障,kcg
2007,髒亂、噪音、空汙,kcg
2007,交通號誌,kcg
2007,髒亂、噪音、空汙,kcg
2007,髒亂、噪音、空汙,kcg
2007,髒亂、噪音、空汙,kcg
2007,髒亂、噪音、空汙,kcg
2007,交通違規、路霸,kcg
2006,髒亂、噪音、空汙,kcg
2006,髒亂、噪音、空汙,kcg
2005,髒亂、噪音、空汙,kcg
2005,髒亂、噪音、空汙,kcg
2005,髒亂、噪音、空汙,kcg
2004,路燈故障,kcg
2003,髒亂、噪音、空汙,kcg
2003,髒亂、噪音、空汙,kcg
2003,髒亂、噪音、空汙,kcg
2002,髒亂、噪音、空汙,kcg
2002,髒亂、噪音、空汙,kcg
2002,髒亂、噪音、空汙,kcg
2001,髒亂、噪音、空汙,kcg
2001,交通違規、路霸,kcg
2001,髒亂、噪音、空汙,kcg
2001,髒亂、噪音、空汙,kcg
2000,髒亂、噪音、空汙,kcg
2000,髒亂、噪音、空汙,kcg
2000,路燈故障,kcg
2000,髒亂、噪音、空汙,kcg
2023,路燈故障,kcg
2023,電力相關,kcg
2023,電力相關,kcg
2023,電力相關,kcg
2023,道路不平,kcg
2023,公園、路樹、人行道,kcg
2022,動物保護,kcg
2022,道路不平,kcg
2022,道路不平,kcg
2022,公園、路樹、人行道,kcg
2022,路燈故障,kcg
2022,交通違規、路霸,kcg
2021,路燈故障,kcg
2021,道路不平,kcg
2021,道路不平,kcg
2021,道路不平,kcg
2021,路燈故障,kcg
2021,電力相關,kcg
2021,交通號誌,kcg
2021,道路不平,kcg
2021,路燈故障,kcg
2021,路燈故障,kcg
2021,路燈故障,kcg
2021,動物保護,kcg
2020,路燈故障,kcg
2020,交通違規、路霸,kcg
2020,道路不平,kcg
2020,公園、路樹、人行道,kcg
2020,公園、路樹、人行道,kcg
2020,道路不平,kcg
2020,髒亂、噪音、空汙,kcg
2020,髒亂、噪音、空汙,kcg
2020,道路不平,kcg
2020,路燈故障,kcg
2020,公園、路樹、人行道,kcg
2020,電力相關,kcg
2020,道路不平,kcg
